plate_id,id,bad_wells,mean_abs,sd_abs,cv_abs,slope,intercept,run_date,mass_kg,poxc_mg_kg
saa2021_plate1_20220318,rgt_blank,ok,0.3476666666666667,5.773502691896263e-4,0.16606431520315235,0.0628781587376913,-3.323842290505006e-4,20220318,NA,NA
saa2021_plate1_20220318,SAA-1M,ok,0.2383333333333333,5.773502691896263e-4,0.24224486819145163,0.0628781587376913,-3.323842290505006e-4,20220318,0.00254,378.8803745598951
saa2021_plate1_20220318,SAA-BM1,ok,0.23300000000000004,0.0010000000000000009,0.4291845493562235,0.0628781587376913,-3.323842290505006e-4,20220318,0.0025099999999999996,407.45784213956847
saa2021_plate1_20220318,SAA-BM2,ok,0.26433333333333336,0.0020816659994661343,0.7875155105168224,0.0628781587376913,-3.323842290505006e-4,20220318,0.00248,269.389664713604
saa2021_plate1_20220318,SAA-BM3,ok,0.25766666666666665,0.001527525231651948,0.5928299734742359,0.0628781587376913,-3.323842290505006e-4,20220318,0.00249,298.6105056124371
saa2021_plate1_20220318,SAA-CV2,ok,0.26,0.0020000000000000018,0.7692307692307698,0.0628781587376913,-3.323842290505006e-4,20220318,0.0025499999999999997,281.2279734529952
saa2021_plate1_20220318,SAA-CV3,ok,0.26733333333333337,0.0020816659994661343,0.7786780546631424,0.0628781587376913,-3.323842290505006e-4,20220318,0.0025,253.6528651085537
saa2021_plate1_20220318,SAA-SH1,ok,0.258,0.0017320508075688787,0.6713375223135188,0.0628781587376913,-3.323842290505006e-4,20220318,0.0025,295.90698778028224
saa2021_plate1_20220318,SAA-SH2,ok,0.26433333333333336,0.0037859388972001857,1.432259355813437,0.0628781587376913,-3.323842290505006e-4,20220318,0.00249,268.3077785099349
saa2021_plate1_20220318,SAA-SH3,ok,0.252,0.002645751311064593,1.049901313914521,0.0628781587376913,-3.323842290505006e-4,20220318,0.0025,323.070352354965
saa2021_plate2_20220318,122,ok,0.09500000000000001,0.0010000000000000009,1.0526315789473693,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,1018.8031768053568
saa2021_plate2_20220318,193,ok,0.20700000000000002,0.0010000000000000009,0.48309178743961395,0.06514999221371234,-6.22294265045226e-4,20220318,0.0024700000000000004,520.0503068118294
saa2021_plate2_20220318,rgt_blank,ok,0.3453333333333334,0.011372481406154664,3.2931895963768323,0.06514999221371234,-6.22294265045226e-4,20220318,NA,NA
saa2021_plate2_20220318,SAA-10M,ok,0.24733333333333332,0.001527525231651948,0.617597802554696,0.06514999221371234,-6.22294265045226e-4,20220318,0.00252,322.03782315621714
saa2021_plate2_20220318,SAA-11M,ok,0.23633333333333337,5.773502691896263e-4,0.24429489528475018,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,368.836195661497
saa2021_plate2_20220318,SAA-12M,ok,0.254,0.0010000000000000009,0.39370078740157516,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025099999999999996,292.17343573594104
saa2021_plate2_20220318,SAA-14M,ok,0.255,0.0020000000000000018,0.7843137254901967,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025299999999999997,285.2285869955512
saa2021_plate2_20220318,SAA-15M,ok,0.26566666666666666,0.001527525231651948,0.5749781298564421,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025,238.6161360193668
saa2021_plate2_20220318,SAA-16M,ok,0.272,0,0,0.06514999221371234,-6.22294265045226e-4,20220318,0.00254,205.6178539073955
saa2021_plate2_20220318,SAA-17M,ok,0.26633333333333337,5.773502691896263e-4,0.21677732259935906,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025299999999999997,232.69657746354565
saa2021_plate2_20220318,SAA-18M,ok,0.265,0,0,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025099999999999996,240.78021478647904
saa2021_plate2_20220318,SAA-19M,ok,0.25933333333333336,5.773502691896263e-4,0.22262863850499728,0.06514999221371234,-6.22294265045226e-4,20220318,0.00252,266.19497268732067
saa2021_plate2_20220318,SAA-20M,ok,0.26166666666666666,0.0020816659994661343,0.7955411462927902,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,252.33268017344662
saa2021_plate2_20220318,SAA-2M,ok,0.24566666666666667,0.001527525231651948,0.6217877469410914,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,325.91384785011024
saa2021_plate2_20220318,SAA-3M,ok,0.24533333333333332,0.0020816659994661343,0.8485051628258701,0.06514999221371234,-6.22294265045226e-4,20220318,0.00249,335.3370729118891
saa2021_plate2_20220318,SAA-4M,ok,0.23633333333333337,0.0015275252316519178,0.6463435394860018,0.06514999221371234,-6.22294265045226e-4,20220318,0.00254,370.2883066680383
saa2021_plate2_20220318,SAA-5M,ok,0.258,0.0010000000000000009,0.38759689922480656,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025299999999999997,271.32305506060874
saa2021_plate2_20220318,SAA-6M,ok,0.26566666666666666,0.0011547005383792527,0.43464261168604246,0.06514999221371234,-6.22294265045226e-4,20220318,0.00252,236.72235716207024
saa2021_plate2_20220318,SAA-7M,ok,0.26333333333333336,5.773502691896263e-4,0.21924693766694667,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025299999999999997,246.60210939848815
saa2021_plate2_20220318,SAA-8M,ok,0.256,0.0010000000000000009,0.39062500000000033,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025099999999999996,282.8292137451299
saa2021_plate2_20220318,SAA-9M,ok,0.255,0.0010000000000000009,0.39215686274509837,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,282.99150003872336
saa2021_plate2_20220318,SAA-CV1,ok,0.24633333333333332,0.001527525231651948,0.6201049654879356,0.06514999221371234,-6.22294265045226e-4,20220318,0.0025499999999999997,322.84796586358266
